country,year,sex,age,suicides_no,population,suicide_rate
Czech Republic,2004,male,5-14 years,5,553266,0.903724429
Czech Republic,2004,male,55-74 years,317,973192,32.57322296
Czech Republic,2004,male,75+ years,121,208455,58.04610108
Czech Republic,2005,female,15-24 years,16,663458,2.411607065
Czech Republic,2005,female,25-34 years,33,841934,3.919547138
Czech Republic,2005,female,35-54 years,109,1408555,7.738426969
Czech Republic,2005,female,5-14 years,2,506842,0.39460029
Czech Republic,2005,female,55-74 years,82,1171511,6.999507474
Czech Republic,2005,female,75+ years,50,420901,11.87927802
Czech Republic,2005,male,15-24 years,85,695191,12.22685564
Czech Republic,2005,male,25-34 years,208,877897,23.69298448
Czech Republic,2005,male,35-54 years,516,1427262,36.15313797
Czech Republic,2005,male,5-14 years,4,534812,0.747926374
Czech Republic,2005,male,55-74 years,347,998004,34.76939972
Czech Republic,2005,male,75+ years,113,215366,52.46882052
Czech Republic,2006,female,15-24 years,12,658122,1.823370135
Czech Republic,2006,female,25-34 years,20,845584,2.365229238
Czech Republic,2006,female,35-54 years,95,1401646,6.777745593
Czech Republic,2006,female,5-14 years,0,488298,0
Czech Republic,2006,female,55-74 years,90,1193318,7.54199635
Czech Republic,2006,female,75+ years,41,430258,9.529166221
Czech Republic,2006,male,15-24 years,101,690682,14.62322748
Czech Republic,2006,male,25-34 years,155,884745,17.51917219
Czech Republic,2006,male,35-54 years,459,1426930,32.16695984
Czech Republic,2006,male,5-14 years,3,515573,0.581876863
Czech Republic,2006,male,55-74 years,299,1022887,29.23099032
Czech Republic,2006,male,75+ years,125,222276,56.23639079
Czech Republic,2007,female,15-24 years,15,654550,2.291650752
Czech Republic,2007,female,25-34 years,21,846092,2.481999593
Czech Republic,2007,female,35-54 years,73,1400706,5.21165755
Czech Republic,2007,female,5-14 years,0,472986,0
Czech Republic,2007,female,55-74 years,72,1216178,5.920186025
Czech Republic,2007,female,75+ years,49,438726,11.16870211
Czech Republic,2007,male,15-24 years,100,690165,14.48928879
Czech Republic,2007,male,25-34 years,176,888983,19.7979039
Czech Republic,2007,male,35-54 years,440,1434256,30.6779264
Czech Republic,2007,male,5-14 years,2,499126,0.400700424
Czech Republic,2007,male,55-74 years,322,1047512,30.73950465
Czech Republic,2007,male,75+ years,109,229015,47.59513569
Czech Republic,2008,female,15-24 years,14,653487,2.142353253
Czech Republic,2008,female,25-34 years,32,842858,3.796606309
Czech Republic,2008,female,35-54 years,88,1412333,6.230825167
Czech Republic,2008,female,5-14 years,1,461711,0.2165857
Czech Republic,2008,female,55-74 years,84,1241767,6.764554059
Czech Republic,2008,female,75+ years,37,446156,8.293063413
Czech Republic,2008,male,15-24 years,96,692756,13.85769304
Czech Republic,2008,male,25-34 years,162,892070,18.16000986
Czech Republic,2008,male,35-54 years,434,1457201,29.78312532
Czech Republic,2008,male,5-14 years,3,487813,0.61498976
Czech Republic,2008,male,55-74 years,291,1075692,27.05235328
Czech Republic,2008,male,75+ years,137,235750,58.11240721
